name,price,profit
Action-1,20,5
Action-2,30,10
Action-3,50,15
Action-4,70,20
Action-5,60,17
Action-6,80,25
Action-7,22,7
Action-8,26,11
Action-9,48,13
Action-10,34,27
Action-11,42,17
Action-12,110,9
Action-13,38,23
Action-14,14,1
Action-15,18,3
Action-16,08,8
Action-17,04,12
Action-18,10,14
Action-19,24,21
Action-20,114,18
Share-DUPH,10.01,12.25
Share-GTAN,26.04,38.06
Share-USUF,9.25,27.69
Share-CFOZ,10.64,38.21
Share-QLRX,15.72,27.47
Share-XJDT,0.0,37.11
Share-HKFP,23.97,19.66
Share-PPPH,24.06,38.2
Share-HLJY,26.98,5.54
Share-YKBD,0.0,22.75
Share-CTCR,16.6,12.4
Share-LMJG,16.54,29.82
Share-IGUH,19.13,14.3
Share-VIRY,31.94,1.84
Share-PYDS,34.9,30.69